especie,especieCBRO
Pseudocolopteryx sclateri,Pseudocolopteryx sclateri
Pseudoseisura lophotes,Pseudoseisura lophotes
Psilorhamphus guttatus,Psilorhamphus guttatus
Psophia viridis obscura,Psophia obscura
Pterodroma arminjoniana,Pterodroma arminjoniana
Pterodroma incerta,Pterodroma incerta
Pteroglossus aracari,Pteroglossus aracari
Pteroglossus aracari wiedii,Pteroglossus aracari wiedii
Pteroglossus bailloni,Pteroglossus bailloni
Pteroglossus bitorquatus bitorquatus,Pteroglossus bitorquatus bitorquatus
Pteroglossus castanotis,Pteroglossus castanotis
Pteroglossus castanotis australis,Pteroglossus castanotis australis
Puffinus gravis,Ardenna gravis
Puffinus griseus,Ardenna grisea
Puffinus lherminieri,Puffinus lherminieri
Puffinus puffinus,Puffinus puffinus
Pulsatrix perspicillata,Pulsatrix perspicillata
Pulsatrix perspicillata perspicillata,Pulsatrix perspicillata perspicillata
Pulsatrix perspicillata pulsatrix,Pulsatrix perspicillata pulsatrix
Pyriglena atra,Pyriglena atra
Pyriglena leucoptera,Pyriglena leucoptera
Pyroderus scutatus,Pyroderus scutatus
Pyroderus scutatus scutatus,Pyroderus scutatus scutatus
Pyrrhura cruentata,Pyrrhura cruentata
Pyrrhura leucotis,Pyrrhura leucotis
Pyrrhura perlata lepida,Pyrrhura perlata
Rallus longirostris,Rallus longirostris
Rallus longirostris crassirostris,Rallus longirostris crassirostris
Rallus maculatus,Pardirallus maculatus
Ramphastos toco,Ramphastos toco
Ramphastos vitellinus,Ramphastos vitellinus
Ramphocaenus melanurus,Ramphocaenus melanurus
Ramphocelus bresilius,Ramphocelus bresilia
Ramphodon naevius,Ramphodon naevius
Ramphotrigon megacephala,Ramphotrigon megacephalum
Ramphotrigon megacephalum,Ramphotrigon megacephalum
Rea americana,Rhea americana
Rhea americana,Rhea americana
Rhea americana americana,Rhea americana americana
Rhopias gularis,Rhopias gularis
Rhopornis ardesiacus,Rhopornis ardesiacus
Rhynchocyclus olivaceus,Rhynchocyclus olivaceus
Rhynchocyclus olivaceus olivaceus,Rhynchocyclus olivaceus olivaceus
Rhytipterna simplex,Rhytipterna simplex
Sakesphorus luctuosus araguayae,Sakesphorus luctuosus
Saltator atricollis,Saltatricula atricollis
Saltator fuliginosus,Saltator fuliginosus
Saltator similis,Saltator similis
Sarcoramphus papa,Sarcoramphus papa
Sarkidiornis melanotos,Sarkidiornis sylvicola
Sarkidiornis sylvicola,Sarkidiornis sylvicola
Schiffornis turdina,Schiffornis turdina
Schiffornis turdina turdina,Schiffornis turdina turdina
Schistochlamys melanopis,Schistochlamys melanopis
Sclerurus caudacutus,Sclerurus caudacutus
Sclerurus caudacutus umbretta,Sclerurus caudacutus umbretta
Sclerurus cearensis,Sclerurus cearensis
Sclerurus macconnelli,Sclerurus macconnelli
Sclerurus mexicanus,Sclerurus macconnelli
Scytalopus diamantinensis,Scytalopus diamantinensis
Scytalopus indigoticus,Eleoscytalopus indigoticus
Scytalopus iraiensis,Scytalopus iraiensis
Scytalopus novacapitalis,Scytalopus novacapitalis
Scytalopus pachecoi,Scytalopus pachecoi
Scytalopus speluncae,Scytalopus speluncae
